Unnamed: 0,mon/day/yr,Longitude,DEPTH,Latitude,TMP,PHSPHT,NITRAT,TCARBN,SILCAT,PH
416597,04/13/1994,-110.33,395.92999,-0.0003,9.475,2.51,36.1,2257.6,34.115,7.47
416598,08/19/2001,-148.96001,1601.0,49.525,2.2043,3.12,43.826,2398.8,164.54,7.36
416599,01/12/2018,145.85001,2540.0,-45.222,1.9244,2.25,32.2,2273.7,101.18,7.6
416600,04/29/1996,-23.28699,3436.69995,-67.386,-0.3187,2.2826,33.27,2250.6,123.22,7.62
416601,01/30/1994,82.034,1273.0,-58.959,0.997,2.23,32.3,2260.0,130.59,7.62
416602,01/03/1993,-108.53999,7.7313,-52.389,7.7528,1.12,14.1,2092.3,1.3328,7.84
416603,01/11/2010,-141.7,2462.0,-32.5,1.8554,2.49,35.522,2296.1,119.53,7.59
416604,03/15/2005,-51.802,1159.5,-63.494,-0.4918,2.2231,31.901,2249.6,98.252,7.6
416605,03/03/1994,-30.03,1585.0,-3.005,4.018,1.35,20.629,2168.2,18.13,7.74
416606,02/10/2012,155.23,149.0,24.245,19.539,0.1,0.79,2030.7,2.42,8.01
416607,06/15/1992,0.0,2950.0,-66.5,-0.1795,2.3,32.561,2259.4,125.3,7.6
416608,06/14/2021,165.0098,3751.0,35.0143,1.4827,2.54,36.54,2332.5,152.955,7.57
416609,05/26/2007,-61.18298,860.0,42.233,4.0858,1.1227,16.307,2164.4,9.93,7.72
416610,02/17/2009,-169.99001,1481.0,-33.998,2.891,2.37,34.47,2258.3,78.69,7.57
416611,04/10/2019,-53.86401,1580.0,-47.105,2.8403,2.08,30.89,2237.7,64.1,7.61
416612,10/18/2011,146.46001,1004.0,41.659,3.1708,3.07,42.82,2366.3,126.16,7.35
416613,11/17/1992,-135.0,86.914,-39.487,11.821,0.5454,4.66,2044.7,1.4058,7.92
416614,06/30/2012,164.96001,4252.0,14.99,1.4352,2.43,35.3,2311.1,141.1,7.6
